season,product_a,commodity_a,product_b,commodity_b,co_basket_count,seasonal_support,confidence_a_to_b,seasonal_lift
Fall,822407,MEAT - SHELF STABLE,1045220,MEAT - SHELF STABLE,70,0.0012715943977183964,0.0661625708884688,108.3445559119015
Fall,892008,MEAT - SHELF STABLE,930917,MEAT - SHELF STABLE,78,0.001416919471743356,0.08628318584070796,101.02574387660276
Fall,930917,MEAT - SHELF STABLE,1045220,MEAT - SHELF STABLE,69,0.0012534287634652765,0.0581787521079258,95.27064888798643
Fall,882441,SOFT DRINKS,1132770,SOFT DRINKS,77,0.001398753837490236,0.06993642143505904,91.70605677934626
Fall,822407,MEAT - SHELF STABLE,892008,MEAT - SHELF STABLE,59,0.001071772420934077,0.055765595463137994,85.66205469949834
Fall,938700,VEGETABLES - SHELF STABLE,1030819,VEGETABLES - SHELF STABLE,120,0.0021798761103743935,0.055350553505535055,83.36459044072048
Fall,985119,REFRGRATD JUICES/DRNKS,1033615,REFRGRATD JUICES/DRNKS,69,0.0012534287634652765,0.07309322033898305,76.14432143376162
Fall,1022003,SOUP,1050229,SOUP,117,0.002125379207615034,0.06786542923433875,74.55763096670175
Fall,822407,MEAT - SHELF STABLE,930917,MEAT - SHELF STABLE,65,0.0011807662264527966,0.06143667296786389,71.93389450570959
Fall,938700,VEGETABLES - SHELF STABLE,976955,VEGETABLES - SHELF STABLE,70,0.0012715943977183964,0.03228782287822878,71.16865961698547
Fall,1013321,VEGETABLES - SHELF STABLE,1030819,VEGETABLES - SHELF STABLE,89,0.0016167414485276754,0.0468667719852554,70.58699514971872
Fall,938700,VEGETABLES - SHELF STABLE,1013321,VEGETABLES - SHELF STABLE,207,0.003760286290395829,0.09547970479704797,69.81949071429379
Fall,938700,VEGETABLES - SHELF STABLE,973861,VEGETABLES - SHELF STABLE,87,0.0015804101800214355,0.04012915129151291,68.20692837221495
Fall,8090509,SOFT DRINKS,8090521,SOFT DRINKS,79,0.001435085105996476,0.1049136786188579,57.47046686588714
Fall,8090509,SOFT DRINKS,8090537,SOFT DRINKS,65,0.0011807662264527966,0.08632138114209828,52.11720516140096
Fall,903325,BROCCOLI/CAULIFLOWER,1117514,BROCCOLI/CAULIFLOWER,107,0.0019437228650838344,0.038351254480286735,50.57568539444849
Fall,8090521,SOFT DRINKS,8090537,SOFT DRINKS,210,0.003814783193155189,0.08284023668639054,50.01543712439589
Fall,1051069,CANDY - CHECKLANE,1080414,CANDY - CHECKLANE,73,0.0013260913004777561,0.0722057368941642,49.24753580487101
Fall,903325,BROCCOLI/CAULIFLOWER,1135476,BERRIES,78,0.001416919471743356,0.02795698924731183,45.14217935435375
Fall,1076875,SOFT DRINKS,1092026,SOFT DRINKS,58,0.001053606786680957,0.06921241050119331,41.19645156292562
Fall,878996,GRAPES,1135476,BERRIES,92,0.0016712383512870353,0.025463603653473568,41.11610706592121
Fall,866211,GRAPES,1135476,BERRIES,92,0.0016712383512870353,0.02508862830651759,40.51063398668485
Fall,5568378,BAG SNACKS,5569327,BAG SNACKS,105,0.0019073915965775944,0.03900445765230312,37.665690304992474
Fall,844165,SOFT DRINKS,1076875,SOFT DRINKS,68,0.0012352631292121565,0.022479338842975205,37.25032694071685
Fall,847270,CITRUS,908846,CITRUS,68,0.0012352631292121565,0.03955788248981966,36.69457055603166
Fall,908846,CITRUS,1028816,TROPICAL FRUIT,60,0.0010899380551871968,0.04008016032064128,36.09405286439598
Fall,820165,CITRUS,901062,APPLES,83,0.0015077476430089556,0.051171393341553635,33.11220473127232
Fall,5569230,SOFT DRINKS,5569845,SOFT DRINKS,143,0.0025976856981961526,0.029582126603227142,32.57653423753743
Fall,844165,SOFT DRINKS,1092026,SOFT DRINKS,165,0.0029973296517647914,0.05454545454545454,32.466419821064264
Fall,933835,DELI MEATS,1132771,CHEESES,58,0.001053606786680957,0.02446225221425559,29.876281903068698
Fall,893501,SOFT DRINKS,1053690,SOFT DRINKS,90,0.0016349070827807954,0.0728744939271255,29.81633694616979
Fall,916381,SOFT DRINKS,1053690,SOFT DRINKS,94,0.001707569619793275,0.07286821705426356,29.813768786226102
Fall,5568489,SOFT DRINKS,5569230,SOFT DRINKS,57,0.001035441152427837,0.10178571428571428,29.239554837555914
Fall,1055646,VEGETABLES SALAD,5585510,TOMATOES,62,0.0011262693236934367,0.029217719132893498,27.19368487405353
Fall,970030,PEPPERS-ALL,995785,PEPPERS-ALL,111,0.002016385402096314,0.09796999117387467,26.294033886517056
Fall,979707,ONIONS,1041259,HERBS,80,0.001453250740249596,0.029175784099197667,26.021030857966124
Fall,1026118,TOMATOES,1028816,TROPICAL FRUIT,59,0.001071772420934077,0.02868254739912494,25.829971083633502
Fall,900802,CARROTS,962568,VEGETABLES - ALL OTHERS,56,0.001017275518174717,0.05550049554013875,24.615256571726622
Fall,862349,FLUID MILK PRODUCTS,1135476,BERRIES,59,0.001071772420934077,0.014358724750547579,23.185047654991763
Fall,903325,BROCCOLI/CAULIFLOWER,1137688,SQUASH,61,0.0011081036894403167,0.02186379928315412,23.12338868640418
Fall,961554,CARROTS,1135476,BERRIES,64,0.0011626005921996766,0.013316687473990845,21.502468990453718
Fall,903325,BROCCOLI/CAULIFLOWER,951412,VEGETABLES - ALL OTHERS,58,0.001053606786680957,0.02078853046594982,21.44713592215458
Fall,820165,CITRUS,878996,GRAPES,89,0.0016167414485276754,0.054870530209617754,21.089280778062577
Fall,1055646,VEGETABLES SALAD,1081177,TOMATOES,109,0.001980054133590074,0.05136663524976438,21.004096772757215
Fall,1126899,FLUID MILK PRODUCTS,1135476,BERRIES,58,0.001053606786680957,0.012934879571810883,20.885963377254523
Fall,845208,ONIONS,899624,POTATOES,106,0.0019255572308307144,0.038941954445260836,20.846749431279804
Fall,1082185,TROPICAL FRUIT,1135476,BERRIES,377,0.00684844411342622,0.012660353280945665,20.44268549242596
Fall,933835,DELI MEATS,1101010,DELI MEATS,60,0.0010899380551871968,0.025305778152678194,20.0231845115173
Fall,865178,VEGETABLES - ALL OTHERS,961554,CARROTS,78,0.001416919471743356,0.06872246696035242,19.85663022962053
Fall,860776,VEGETABLES - ALL OTHERS,1135476,BERRIES,60,0.0010899380551871968,0.012234910277324634,19.755722235952906
Fall,844165,SOFT DRINKS,868764,SOFT DRINKS,56,0.001017275518174717,0.018512396694214877,19.328652616916855
Fall,979707,ONIONS,995785,PEPPERS-ALL,196,0.0035604643136115098,0.07148067104303428,19.184600959091707
Fall,951590,BAKED BREAD/BUNS/ROLLS,1135476,BERRIES,72,0.0013079256662246362,0.011730205278592375,18.9407745542743
Fall,859075,CHEESE,1136257,CHEESE,67,0.0012170974949590365,0.019230769230769232,18.926060165275857
Fall,953476,PAPER TOWELS,1065593,BATH TISSUES,78,0.001416919471743356,0.043673012318029114,18.922376875234555
Fall,899624,POTATOES,1055646,VEGETABLES SALAD,74,0.001344256934730876,0.028527370855821126,18.66839331195129
Fall,834484,ONIONS,1041259,HERBS,69,0.0012534287634652765,0.020896426408237433,18.63691322026603
Fall,820165,CITRUS,866211,GRAPES,79,0.001435085105996476,0.04870530209617756,18.44403362096827
Fall,5569230,SOFT DRINKS,5569471,SOFT DRINKS,139,0.0025250231611836727,0.0287546545304096,17.97836400985294
Fall,826249,BAKED BREAD/BUNS/ROLLS,1094955,MEAT - SHELF STABLE,63,0.0011444349579465567,0.011444141689373298,17.677225749093925
Fall,961554,CARROTS,962568,VEGETABLES - ALL OTHERS,183,0.0033243110683209504,0.038077403245942575,16.88786814175586
Fall,899624,POTATOES,938700,VEGETABLES - SHELF STABLE,67,0.0012170974949590365,0.025828835774865073,16.543832594079507
Fall,903325,BROCCOLI/CAULIFLOWER,961554,CARROTS,157,0.0028520045777398317,0.056272401433691756,16.25931542949743
Fall,961554,CARROTS,1117514,BROCCOLI/CAULIFLOWER,59,0.001071772420934077,0.01227632126508531,16.189388600659157
Fall,860776,VEGETABLES - ALL OTHERS,6034857,TOMATOES,129,0.0023433668186524734,0.02630505709624796,16.14155122150991
Fall,976998,PAPER TOWELS,1065593,BATH TISSUES,58,0.001053606786680957,0.03706070287539936,16.057435698794112
Fall,899624,POTATOES,1013321,VEGETABLES - SHELF STABLE,56,0.001017275518174717,0.02158828064764842,15.786420406514068
Fall,866211,GRAPES,878996,GRAPES,150,0.002724845137967992,0.04090537223888737,15.721825125098812
Fall,860776,VEGETABLES - ALL OTHERS,1117514,BROCCOLI/CAULIFLOWER,58,0.001053606786680957,0.011827079934747145,15.596951964693433
Fall,962568,VEGETABLES - ALL OTHERS,1055646,VEGETABLES SALAD,73,0.0013260913004777561,0.02331523474928138,15.257556494072874
Fall,899624,POTATOES,1038217,CRACKERS/MISC BKD FD,63,0.0011444349579465567,0.02428681572860447,15.246706101250675
Fall,860776,VEGETABLES - ALL OTHERS,1055646,VEGETABLES SALAD,114,0.002070882304855674,0.0232463295269168,15.212464718919438
Fall,981760,EGGS,1135476,BERRIES,83,0.0015077476430089556,0.009094893710278325,14.685534248565238
Fall,979707,ONIONS,1004906,POTATOES,103,0.0018710603280713547,0.03756382202771699,14.477583748691666
Fall,903325,BROCCOLI/CAULIFLOWER,962568,VEGETABLES - ALL OTHERS,91,0.0016530727170339153,0.03261648745519713,14.465874572192568
Fall,903325,BROCCOLI/CAULIFLOWER,6034857,TOMATOES,65,0.0011807662264527966,0.023297491039426525,14.29602085901614
Fall,834484,ONIONS,1055646,VEGETABLES SALAD,72,0.0013079256662246362,0.021804966686856452,14.26923274218131
Fall,845208,ONIONS,1004906,POTATOES,100,0.0018165634253119948,0.036737692872887584,14.159182867720245
Fall,962568,VEGETABLES - ALL OTHERS,995785,PEPPERS-ALL,164,0.0029791640175116712,0.05237943149153625,14.058045020649383
Fall,961554,CARROTS,1055646,VEGETABLES SALAD,102,0.0018528946938182347,0.02122347066167291,13.888700075419713
Fall,824005,MUSHROOMS,995785,PEPPERS-ALL,82,0.0014895820087558356,0.05137844611528822,13.789391904653263
Fall,962568,VEGETABLES - ALL OTHERS,979707,ONIONS,85,0.0015440789115151955,0.027147876077930375,13.748615972922096
Fall,883932,CRACKERS/MISC BKD FD,951590,BAKED BREAD/BUNS/ROLLS,74,0.001344256934730876,0.06011372867587327,13.599951401683551
Fall,834484,ONIONS,962568,VEGETABLES - ALL OTHERS,101,0.0018347290595651148,0.030587522713506964,13.565999945747643
Fall,854852,TOMATOES,1055646,VEGETABLES SALAD,85,0.0015440789115151955,0.020671206225680933,13.527296644468858
Fall,833025,MILK BY-PRODUCTS,859075,CHEESE,91,0.0016530727170339153,0.03361654968599926,13.398789491487442
Fall,844179,BEEF,1055646,VEGETABLES SALAD,79,0.001435085105996476,0.020045673686881503,13.117946356888876
Fall,1053690,SOFT DRINKS,1092026,SOFT DRINKS,74,0.001344256934730876,0.021803182086034177,12.977639822405376
Fall,834484,ONIONS,914190,CHEESE,62,0.0011262693236934367,0.01877649909145972,12.775037675515419
Fall,834484,ONIONS,1026118,TOMATOES,62,0.0011262693236934367,0.01877649909145972,12.675669370795804
Fall,962568,VEGETABLES - ALL OTHERS,1037863,VEGETABLES - ALL OTHERS,57,0.001035441152427837,0.01820504631108272,12.6464772672918
Fall,961554,CARROTS,979707,ONIONS,120,0.0021798761103743935,0.024968789013732832,12.645051512438592
Fall,938700,VEGETABLES - SHELF STABLE,1004906,POTATOES,71,0.0012897600319715162,0.03274907749077491,12.62191881633464
Fall,1004906,POTATOES,1013321,VEGETABLES - SHELF STABLE,62,0.0011262693236934367,0.017207882320288647,12.58325612157946
Fall,878996,GRAPES,6034857,TOMATOES,74,0.001344256934730876,0.02048159424301135,12.568104352029943
Fall,860776,VEGETABLES - ALL OTHERS,1026118,TOMATOES,91,0.0016530727170339153,0.018556280587275695,12.527003906868211
Fall,844179,BEEF,938700,VEGETABLES - SHELF STABLE,76,0.001380588203237116,0.0192844455721898,12.352033285465124
Fall,916122,CHICKEN,12810393,PORK,56,0.001017275518174717,0.012684031710079275,12.343090683717554
Fall,901666,PEARS,1082185,TROPICAL FRUIT,179,0.0032516485313084705,0.26440177252584934,12.32989591584049
Fall,951590,BAKED BREAD/BUNS/ROLLS,1040807,CHEESES,63,0.0011444349579465567,0.010263929618768328,11.877444043409508
Fall,820165,CITRUS,961554,CARROTS,66,0.0011989318607059166,0.040690505548705305,11.757091359992998
Fall,820165,CITRUS,995785,PEPPERS-ALL,71,0.0012897600319715162,0.043773119605425403,11.748208573183431
Fall,844179,BEEF,1013321,VEGETABLES - SHELF STABLE,63,0.0011444349579465567,0.015985790408525755,11.689601966838286
Fall,860776,VEGETABLES - ALL OTHERS,903325,BROCCOLI/CAULIFLOWER,115,0.002089047939108794,0.023450244698205547,11.671690138206348
Fall,820165,CITRUS,862349,FLUID MILK PRODUCTS,56,0.001017275518174717,0.0345252774352651,11.667870750322924
Fall,1040693,CITRUS,1082185,TROPICAL FRUIT,86,0.0015622445457683155,0.25,11.65829543997767
Fall,903325,BROCCOLI/CAULIFLOWER,979707,ONIONS,64,0.0011626005921996766,0.022939068100358423,11.617131195943585
Fall,820165,CITRUS,1082185,TROPICAL FRUIT,403,0.007320750604007339,0.24845869297163994,11.586419389176328
Fall,1062966,HOT DOGS,1098066,BAKED BREAD/BUNS/ROLLS,65,0.0011807662264527966,0.04201680672268908,11.576654715608077
Fall,860776,VEGETABLES - ALL OTHERS,995785,PEPPERS-ALL,210,0.003814783193155189,0.042822185970636216,11.492988776617366
Fall,834484,ONIONS,903325,BROCCOLI/CAULIFLOWER,76,0.001380588203237116,0.02301635372501514,11.455733287520232
Fall,844179,BEEF,979707,ONIONS,89,0.0016167414485276754,0.022583100735853845,11.436857108224244
Fall,878996,GRAPES,903325,BROCCOLI/CAULIFLOWER,83,0.0015077476430089556,0.022972598948242457,11.43395559593835
Fall,860776,VEGETABLES - ALL OTHERS,962568,VEGETABLES - ALL OTHERS,123,0.0022343730131337536,0.0250815660685155,11.124030118807083
Fall,845208,ONIONS,962568,VEGETABLES - ALL OTHERS,68,0.0012352631292121565,0.024981631153563555,11.079707567304157
Fall,903325,BROCCOLI/CAULIFLOWER,995785,PEPPERS-ALL,115,0.002089047939108794,0.04121863799283154,11.062614696127547
Fall,995785,PEPPERS-ALL,1055646,VEGETABLES SALAD,87,0.0015804101800214355,0.01681484344800928,11.003681781711427
Fall,824005,MUSHROOMS,860776,VEGETABLES - ALL OTHERS,62,0.0011262693236934367,0.03884711779448621,11.000157786351387
Fall,834484,ONIONS,860776,VEGETABLES - ALL OTHERS,128,0.0023252011843993533,0.03876438522107813,10.976730788076397
Fall,962568,VEGETABLES - ALL OTHERS,6034857,TOMATOES,56,0.001017275518174717,0.017885659533695305,10.975163005246205
Fall,878996,GRAPES,1055646,VEGETABLES SALAD,60,0.0010899380551871968,0.016606698034874065,10.867470826340687
Fall,899624,POTATOES,962568,VEGETABLES - ALL OTHERS,63,0.0011444349579465567,0.02428681572860447,10.771547076322738
Fall,995785,PEPPERS-ALL,1037863,VEGETABLES - ALL OTHERS,80,0.001453250740249596,0.015461925009663703,10.740916545993294
Fall,976065,APPLES,1082185,TROPICAL FRUIT,102,0.0018528946938182347,0.23024830699774265,10.73721115013745
Fall,823704,BREAKFAST SAUSAGE/SANDWICHES,981760,EGGS,69,0.0012534287634652765,0.07040816326530612,10.713543180598247
Fall,995785,PEPPERS-ALL,1041259,HERBS,61,0.0011081036894403167,0.011789717819868574,10.514905448794767
Fall,878996,GRAPES,979707,ONIONS,75,0.001362422568983996,0.02075837254359258,10.512752139631171
Fall,883404,BAKED BREAD/BUNS/ROLLS,927191,SEAFOOD - SHELF STABLE,77,0.001398753837490236,0.011152954808806488,10.499980581769329
Fall,951590,BAKED BREAD/BUNS/ROLLS,1101010,DELI MEATS,81,0.0014714163745027159,0.013196480938416423,10.44170904915122
Fall,933835,DELI MEATS,951590,BAKED BREAD/BUNS/ROLLS,109,0.001980054133590074,0.04597216364403205,10.40060573783725
Fall,849843,BAKED BREAD/BUNS/ROLLS,938700,VEGETABLES - SHELF STABLE,74,0.001344256934730876,0.016031195840554593,10.268268480266967
Fall,1038217,CRACKERS/MISC BKD FD,1044078,BEEF,66,0.0011989318607059166,0.029837251356238697,10.21027275676704
Fall,961554,CARROTS,1037863,VEGETABLES - ALL OTHERS,70,0.0012715943977183964,0.014565126924677487,10.117938916531031
Fall,961554,CARROTS,1004906,POTATOES,124,0.0022525386473868734,0.025801081980857263,9.94407131705343
Fall,826249,BAKED BREAD/BUNS/ROLLS,1098066,BAKED BREAD/BUNS/ROLLS,197,0.0035786299478646295,0.03578564940962761,9.859818946339699
Fall,834484,ONIONS,995785,PEPPERS-ALL,121,0.0021980417446275137,0.036644457904300425,9.834956667278588
Fall,834484,ONIONS,979707,ONIONS,64,0.0011626005921996766,0.019382192610539067,9.81580740057014
Fall,1045150,CITRUS,1082185,TROPICAL FRUIT,61,0.0011081036894403167,0.2103448275862069,9.809048577084658
Fall,860776,VEGETABLES - ALL OTHERS,961554,CARROTS,166,0.003015495286017911,0.03384991843393149,9.780576038301556
Fall,910032,HOT DOGS,1098066,BAKED BREAD/BUNS/ROLLS,62,0.0011262693236934367,0.03518728717366629,9.694955560925813
Fall,878996,GRAPES,961554,CARROTS,120,0.0021798761103743935,0.03321339606974813,9.596659631084036
Fall,908531,FLUID MILK PRODUCTS,909894,REFRGRATD JUICES/DRNKS,80,0.001453250740249596,0.015910898965791568,9.552337512242692
Fall,995242,FLUID MILK PRODUCTS,1135476,BERRIES,74,0.001344256934730876,0.005900175410620316,9.527019317145545
Fall,1082185,TROPICAL FRUIT,1098844,CITRUS,131,0.002379698087158713,0.004399220901336557,9.471235365191161
Fall,1029743,FLUID MILK PRODUCTS,1135476,BERRIES,84,0.0015259132772620755,0.0058212058212058215,9.399507039719907
Fall,883404,BAKED BREAD/BUNS/ROLLS,5569327,BAG SNACKS,67,0.0012170974949590365,0.0097045191193511,9.3714265935133
Fall,849843,BAKED BREAD/BUNS/ROLLS,1013321,VEGETABLES - SHELF STABLE,59,0.001071772420934077,0.01278162911611785,9.34656047882889
Fall,939578,APPLES,1082185,TROPICAL FRUIT,67,0.0012170974949590365,0.2,9.326636351982136
Fall,834484,ONIONS,845208,ONIONS,60,0.0010899380551871968,0.018170805572380374,9.26993383508105
Fall,995785,PEPPERS-ALL,1026118,TOMATOES,71,0.0012897600319715162,0.013722458446076537,9.263779438844688
Fall,844179,BEEF,899624,POTATOES,68,0.0012352631292121565,0.017254503933011926,9.236832747009347
Fall,866211,GRAPES,961554,CARROTS,117,0.002125379207615034,0.03190619034633215,9.218956358311686
Fall,961554,CARROTS,1013321,VEGETABLES - SHELF STABLE,60,0.0010899380551871968,0.012484394506866416,9.129207805978574
Fall,866211,GRAPES,979707,ONIONS,66,0.0011989318607059166,0.017998363785110445,9.11498899995335
Fall,961554,CARROTS,6034857,TOMATOES,71,0.0012897600319715162,0.014773200166458594,9.065267044279606
Fall,908531,FLUID MILK PRODUCTS,995242,FLUID MILK PRODUCTS,410,0.0074479100437791785,0.08154335719968178,9.028432699116083
Fall,1008547,CITRUS,1082185,TROPICAL FRUIT,76,0.001380588203237116,0.18952618453865336,8.838209011853396
Fall,883404,BAKED BREAD/BUNS/ROLLS,1101010,DELI MEATS,77,0.001398753837490236,0.011152954808806488,8.824770004620945
Fall,979707,ONIONS,1081177,TOMATOES,59,0.001071772420934077,0.021517140773158278,8.798475992731678
Fall,844179,BEEF,847982,SALAD MIX,62,0.0011262693236934367,0.01573204770362852,8.78062545533868
Fall,995785,PEPPERS-ALL,6034857,TOMATOES,74,0.001344256934730876,0.014302280633938926,8.776297066850441
Fall,845208,ONIONS,995785,PEPPERS-ALL,89,0.0016167414485276754,0.03269654665686995,8.77538208860311
Fall,847982,SALAD MIX,961554,CARROTS,74,0.001344256934730876,0.0297427652733119,8.59385755722766
Fall,904360,VEGETABLES SALAD,1026118,TOMATOES,62,0.0011262693236934367,0.012723168479376155,8.58917715213785
Fall,883404,BAKED BREAD/BUNS/ROLLS,1013321,VEGETABLES - SHELF STABLE,80,0.001453250740249596,0.011587485515643106,8.473343514007924
Fall,866211,GRAPES,903325,BROCCOLI/CAULIFLOWER,62,0.0011262693236934367,0.016907553858740116,8.415252470664003
Fall,849843,BAKED BREAD/BUNS/ROLLS,1055646,VEGETABLES SALAD,59,0.001071772420934077,0.01278162911611785,8.36433475461643
Fall,878996,GRAPES,962568,VEGETABLES - ALL OTHERS,68,0.0012352631292121565,0.01882092443952394,8.347346802712956
Fall,916122,CHICKEN,1055646,VEGETABLES SALAD,56,0.001017275518174717,0.012684031710079275,8.300466732170099
Fall,994928,EGGS,1096036,CHEESE,60,0.0010899380551871968,0.01845018450184502,8.203880071122242
Fall,860776,VEGETABLES - ALL OTHERS,878996,GRAPES,104,0.0018892259623244745,0.021207177814029365,8.15089859204552
Fall,860776,VEGETABLES - ALL OTHERS,979707,ONIONS,78,0.001416919471743356,0.015905383360522024,8.05503189635133
Fall,5569230,SOFT DRINKS,8090521,SOFT DRINKS,71,0.0012897600319715162,0.014687629292511377,8.045708850418514
Fall,951590,BAKED BREAD/BUNS/ROLLS,1022003,SOUP,61,0.0011081036894403167,0.009938090583251874,8.004906492630429
Fall,883404,BAKED BREAD/BUNS/ROLLS,1038217,CRACKERS/MISC BKD FD,88,0.0015985758142745554,0.012746234067207415,8.001793520077374
Fall,901062,APPLES,961554,CARROTS,59,0.001071772420934077,0.02749301025163094,7.943814630239557
Fall,883404,BAKED BREAD/BUNS/ROLLS,938700,VEGETABLES - SHELF STABLE,85,0.0015440789115151955,0.0123117033603708,7.885866831835729
Fall,1082185,TROPICAL FRUIT,12946027,SEAFOOD - FROZEN,82,0.0014895820087558356,0.0027537107932030357,7.819879149923672
Fall,833025,MILK BY-PRODUCTS,844179,BEEF,60,0.0010899380551871968,0.02216475803472479,7.809929859104579
Fall,844179,BEEF,859075,CHEESE,77,0.001398753837490236,0.019538188277087035,7.787475937150303
Fall,859075,CHEESE,1096036,CHEESE,61,0.0011081036894403167,0.01750861079219288,7.785209038789999
Fall,981760,EGGS,1055646,VEGETABLES SALAD,108,0.0019618884993369543,0.011834319526627219,7.744412642124045
Fall,834484,ONIONS,961554,CARROTS,88,0.0015985758142745554,0.026650514839491216,7.700384488555882
Fall,1070538,APPLES,1082185,TROPICAL FRUIT,70,0.0012715943977183964,0.1650943396226415,7.698874347155065
Fall,840361,EGGS,1013321,VEGETABLES - SHELF STABLE,56,0.001017275518174717,0.01049082053203447,7.671407743442768
Fall,1082185,TROPICAL FRUIT,1115576,BAKED BREAD/BUNS/ROLLS,99,0.0017983977910588748,0.0033246020552085433,7.656194020283843
Fall,962568,VEGETABLES - ALL OTHERS,1004906,POTATOES,62,0.0011262693236934367,0.019801980198019802,7.6319397556305955
Fall,961554,CARROTS,995785,PEPPERS-ALL,135,0.002452360624171193,0.028089887640449437,7.5390070840732415
Fall,979707,ONIONS,1044078,BEEF,60,0.0010899380551871968,0.02188183807439825,7.487939572299147
Fall,916122,CHICKEN,979707,ONIONS,65,0.0011807662264527966,0.014722536806342015,7.455997814214218
Fall,860299,BERRIES,1082185,TROPICAL FRUIT,87,0.0015804101800214355,0.1596330275229358,7.444195987361889
Fall,938700,VEGETABLES - SHELF STABLE,995785,PEPPERS-ALL,60,0.0010899380551871968,0.027675276752767528,7.427730226743747
Fall,844179,BEEF,995785,PEPPERS-ALL,107,0.0019437228650838344,0.02715046942400406,7.286877895115908
Fall,862349,FLUID MILK PRODUCTS,903325,BROCCOLI/CAULIFLOWER,60,0.0010899380551871968,0.014602092966658554,7.267775098703449
Fall,899624,POTATOES,961554,CARROTS,65,0.0011807662264527966,0.025057825751734774,7.240193816056061
Fall,5978648, ,5978656, ,73,0.0013260913004777561,0.025462155563306593,7.235081071533238
Fall,908531,FLUID MILK PRODUCTS,1133018,FLUID MILK PRODUCTS,190,0.00345147050809279,0.03778838504375497,7.173557359031606
Fall,866211,GRAPES,1082185,TROPICAL FRUIT,563,0.010227252084506531,0.15353149713662395,7.159662211843391
Fall,995785,PEPPERS-ALL,1004906,POTATOES,96,0.001743900888299515,0.018554310011596443,7.1510714988977835
Fall,951590,BAKED BREAD/BUNS/ROLLS,5568378,BAG SNACKS,85,0.0015440789115151955,0.013848159009449332,7.1434426073007025
Fall,904360,VEGETABLES SALAD,1081177,TOMATOES,85,0.0015440789115151955,0.01744305356043505,7.132559553770767
Fall,1082185,TROPICAL FRUIT,5586942,YOGURT,58,0.001053606786680957,0.0019477466586070252,7.117696163354789
Fall,1082185,TROPICAL FRUIT,12731436,CHICKEN,58,0.001053606786680957,0.0019477466586070252,7.117696163354789
